City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,saint-pierre,-21.3393,55.4781,28.82,84,75,1.54,RE,1704295453
53,tarko-sale,64.9225,77.785,-28.16,97,96,4.48,RU,1704295453
54,molochnoye,59.2917,39.6787,-29.82,98,23,2.24,RU,1704295453
55,polyarnyy,69.1989,33.4478,-15.3,83,100,10.39,RU,1704295453
56,codrington,-38.2667,141.9667,15.39,88,100,6.37,AU,1704295453
57,papatowai,-46.5619,169.4708,10.14,84,100,2.2,NZ,1704295453
58,andergrove,-21.0833,149.1833,25.91,81,4,1.6,AU,1704295453
59,ha'il,27.5219,41.6907,13.01,76,40,4.12,SA,1704295174
60,carnarvon,-24.8667,113.6333,26.84,68,0,8.45,AU,1704295284
61,sinabang,2.4803,96.3801,26.31,84,100,0.77,ID,1704295453
62,menaka,15.9182,2.4022,32.18,6,2,5.03,ML,1704295454
63,stanley,54.868,-1.6985,6.51,95,75,0.51,GB,1704295404
64,fort bragg,35.139,-79.006,8.44,64,0,1.34,US,1704295454
65,port saint john's,-31.6229,29.5448,23.11,84,62,6.02,ZA,1704295454
66,hawaiian paradise park,19.5933,-154.9731,19.46,96,100,3.6,US,1704295454
67,gamba,-2.65,10.0,28.28,72,56,4.55,GA,1704295454
68,suez,29.9737,32.5263,18.22,56,90,3.26,EG,1704295397
69,kodiak,57.79,-152.4072,3.73,100,100,2.06,US,1704295454
70,pisco,-13.7,-76.2167,23.34,83,100,3.6,PE,1704295454
71,ash shatrah,31.4117,46.1742,18.03,46,6,3.7,IQ,1704295454
72,yellowknife,62.456,-114.3525,-26.99,83,40,4.63,CA,1704295454
73,margaret river,-33.95,115.0667,17.96,66,0,7.0,AU,1704295455
74,ko pha ngan,9.7578,100.0291,25.38,68,9,2.4,TH,1704295455
75,ribeira grande,38.5167,-28.7,18.22,82,40,6.69,PT,1704295455
76,tanumah,27.1,44.1333,16.68,55,38,3.45,SA,1704295455
77,puerto ayora,-0.7393,-90.3518,27.98,92,59,3.58,EC,1704295455
78,muisne,0.6,-80.0333,24.3,97,100,2.49,EC,1704295455
79,vadso,70.0744,29.7487,-13.91,78,75,7.72,NO,1704295455
80,puerto baquerizo moreno,-0.9,-89.6,25.55,89,40,5.66,EC,1704295455
81,ola,59.5833,151.2833,-25.95,91,67,2.84,RU,1704295455
82,aykhal,66.0,111.5,-31.1,98,100,0.87,RU,1704295455
83,invercargill,-46.4,168.35,12.79,92,100,0.45,NZ,1704295455
84,afaahiti,-17.75,-149.2833,25.93,83,100,8.83,PF,1704295456
85,udachny,66.4167,112.4,-40.31,72,98,0.67,RU,1704295157
86,touros,-5.1989,-35.4608,31.01,59,10,5.4,BR,1704295456
87,tiksi,71.6872,128.8694,-36.46,100,87,1.64,RU,1704295456
88,balabac,7.9868,117.0645,27.63,81,81,2.83,PH,1704295456
89,kindu,-2.95,25.95,27.01,73,84,0.31,CD,1704295456
90,anloga,5.7947,0.8973,29.5,69,99,5.63,GH,1704295456
91,mao,39.8885,4.2658,17.31,82,0,3.09,ES,1704295456
92,kabalo,-6.05,26.9167,25.2,91,76,1.52,CD,1704295456
93,iringa,-7.7667,35.7,19.89,86,100,0.89,TZ,1704295456
94,labrador city,52.9463,-66.9114,-17.05,85,75,2.06,CA,1704295456
95,curup,-3.4667,102.5333,21.01,99,100,0.71,ID,1704295456
96,nata,8.3333,-80.5167,28.79,65,9,4.37,PA,1704295457
97,tamanrasset,22.785,5.5228,24.95,9,0,2.57,DZ,1704295457
98,saint-denis,48.9167,2.3333,11.17,83,75,9.26,FR,1704295457
99,angaur state,6.906,134.13,28.9,76,23,5.05,PW,1704295457
100,west island,-12.1568,96.8225,26.99,83,40,5.14,CC,1704295457
101,east london,-33.0153,27.9116,21.52,94,100,5.14,ZA,1704295269
102,keflavik,64.0049,-22.5624,3.95,81,75,5.66,IS,1704295233
